Title,Year,Rating,Genre,Duration,URL
The Shawshank Redemption,N/A,9.3,Drama,PT2H22M,https://www.imdb.com/title/tt0111161/
The Godfather,N/A,9.2,"Crime, Drama",PT2H55M,https://www.imdb.com/title/tt0068646/
The Dark Knight,N/A,9.0,"Action, Crime, Drama",PT2H32M,https://www.imdb.com/title/tt0468569/
The Godfather Part II,N/A,9.0,"Crime, Drama",PT3H22M,https://www.imdb.com/title/tt0071562/
12 Angry Men,N/A,9.0,"Crime, Drama",PT1H36M,https://www.imdb.com/title/tt0050083/
The Lord of the Rings: The Return of the King,N/A,9.0,"Adventure, Drama, Fantasy",PT3H21M,https://www.imdb.com/title/tt0167260/
Schindler&apos;s List,N/A,9.0,"Biography, Drama, History",PT3H15M,https://www.imdb.com/title/tt0108052/
Pulp Fiction,N/A,8.9,"Crime, Drama",PT2H34M,https://www.imdb.com/title/tt0110912/
The Lord of the Rings: The Fellowship of the Ring,N/A,8.9,"Adventure, Drama, Fantasy",PT2H58M,https://www.imdb.com/title/tt0120737/
"Il buono, il brutto, il cattivo",N/A,8.8,"Adventure, Western",PT2H41M,https://www.imdb.com/title/tt0060196/
